left_shoulder_pitch_joint, left_shoulder_roll_joint, left_shoulder_yaw_joint, left_elbow_pitch_joint, left_wrist_roll_joint, right_shoulder_pitch_joint, right_shoulder_roll_joint, right_shoulder_yaw_joint, right_elbow_pitch_joint, right_wrist_roll_joint
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.2, 0.3, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.4, 0.6, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.6, 0.9, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8, 1.0, -0.3, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8, 1.0, 0.3, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8, 1.0, -0.3, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8, 1.0, 0.3, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.6, 0.9, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.4, 0.6, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.2, 0.3, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.2, -0.3, 0.0, 0.1, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.4, -0.6, 0.0, 0.3, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.6, -0.9, 0.0, 0.6, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.8, -1.0, 0.3, 0.8, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.8, -1.0, 0.0, 0.8, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.8, -1.0, -0.3, 0.8, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.8, -1.0, 0.0, 0.8, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.8, -1.0, 0.3, 0.8, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.8, -1.0, 0.0, 0.8, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.8, -1.0, -0.3, 0.8, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.8, -1.0, 0.0, 0.8, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.6, -0.9, 0.0, 0.6, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.4, -0.6, 0.0, 0.3, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.2, -0.3, 0.0, 0.1, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
