left_hip_yaw_joint, left_hip_pitch_joint, left_hip_roll_joint, left_knee_joint, left_ankle_pitch_joint, left_ankle_roll_joint, right_hip_yaw_joint, right_hip_pitch_joint, right_hip_roll_joint, right_knee_joint, right_ankle_pitch_joint, right_ankle_roll_joint, torso_joint, left_shoulder_pitch_joint, left_shoulder_roll_joint, left_shoulder_yaw_joint, left_elbow_joint, left_wrist_roll_joint, right_shoulder_pitch_joint, right_shoulder_roll_joint, right_shoulder_yaw_joint, right_elbow_joint, right_wrist_roll_joint
-0.063405022025108, 0.324999690055847, 0.512248277664185, 0.166883572936058, -0.019555967301130, 0.000000000000000, -0.046170048415661, -0.123171932995319, -0.405560046434402, 0.068885959684849, 0.102214314043522, 0.000000000000000, -0.067495711147785, -0.045332081615925, 0.381601095199585, -0.145264565944672, 0.121953345835209, 0.242756694555283, 0.939489424228668, 0.017497491091490, 0.209669649600983, 0.037026897072792, -0.069667384028435
-0.063451893627644, 0.325150460004807, 0.512303948402405, 0.167304247617722, -0.019729515537620, 0.000000000000000, -0.046393055468798, -0.123068712651730, -0.405611038208008, 0.068765744566917, 0.102411113679409, 0.000000000000000, -0.067826487123966, -0.044791869819164, 0.382245957851410, -0.145522311329842, 0.121845118701458, 0.243111759424210, 0.939484238624573, 0.017560597509146, 0.209638312458992, 0.037101455032825, -0.068921193480492
-0.063650846481323, 0.325526386499405, 0.512396633625031, 0.168073356151581, -0.020113019272685, 0.000000000000000, -0.046692386269569, -0.122797928750515, -0.405717521905899, 0.068592794239521, 0.102786958217621, 0.000000000000000, -0.068376503884792, -0.043875701725483, 0.383417636156082, -0.145822733640671, 0.121561594307423, 0.243793830275536, 0.939549207687378, 0.017681125551462, 0.209609985351562, 0.037242788821459, -0.067538589239120
-0.064022056758404, 0.326178163290024, 0.512509465217590, 0.169196516275406, -0.020727623254061, 0.000000000000000, -0.046931080520153, -0.122349448502064, -0.405878841876984, 0.068400770425797, 0.103364318609238, 0.000000000000000, -0.069064438343048, -0.042683303356171, 0.384932726621628, -0.146053239703178, 0.121118642389774, 0.244817450642586, 0.939711630344391, 0.017861451953650, 0.209596455097198, 0.037457533180714, -0.065672971308231
-0.064469598233700, 0.327136904001236, 0.512618422508240, 0.170719876885414, -0.021563276648521, 0.000000000000000, -0.047054540365934, -0.121740266680717, -0.406091153621674, 0.068152531981468, 0.104157030582428, 0.000000000000000, -0.069864816963673, -0.041222635656595, 0.386678725481033, -0.146175533533096, 0.120565131306648, 0.246204450726509, 0.939983725547791, 0.018105767667294, 0.209603369235992, 0.037757258862257, -0.063441276550293
-0.064900882542133, 0.328408569097519, 0.512703835964203, 0.172666594386101, -0.022600585594773, 0.000000000000000, -0.047041215002537, -0.120960526168346, -0.406352192163467, 0.067777022719383, 0.105167202651501, 0.000000000000000, -0.070757992565632, -0.039428718388081, 0.388613551855087, -0.146147176623344, 0.119940780103207, 0.247979909181595, 0.940396904945374, 0.018418988212943, 0.209644898772240, 0.038155999034643, -0.060945529490709
-0.065262369811535, 0.329970657825470, 0.512752532958984, 0.175021335482597, -0.023814814165235, 0.000000000000000, -0.046854551881552, -0.119976967573166, -0.406662642955780, 0.067204974591732, 0.106399051845074, 0.000000000000000, -0.071699179708958, -0.037246663123369, 0.390670955181122, -0.145921677350998, 0.119289852678776, 0.250174432992935, 0.940992236137390, 0.018807191401720, 0.209739655256271, 0.038671344518661, -0.058378782123327
-0.065544866025448, 0.331796139478683, 0.512752413749695, 0.177742496132851, -0.025173747912049, 0.000000000000000, -0.046462409198284, -0.118760950863361, -0.407026648521423, 0.066374167799950, 0.107862859964371, 0.000000000000000, -0.072617106139660, -0.034710891544819, 0.392708957195282, -0.145474612712860, 0.118681430816650, 0.252827495336533, 0.941805303096771, 0.019278293475509, 0.209904313087463, 0.039325982332230, -0.056088343262672
-0.065802194178104, 0.333883702754974, 0.512686669826508, 0.180769920349121, -0.026644298806787, 0.000000000000000, -0.045864447951317, -0.117297403514385, -0.407453238964081, 0.065230280160904, 0.109571591019630, 0.000000000000000, -0.073414191603661, -0.031990464776754, 0.394489794969559, -0.144823119044304, 0.118224911391735, 0.255989998579025, 0.942853748798370, 0.019842687994242, 0.210148259997368, 0.040149211883545, -0.054590858519077
-0.066136315464973, 0.336268097162247, 0.512531816959381, 0.184029310941696, -0.028201213106513, 0.000000000000000, -0.045083969831467, -0.115562655031681, -0.407958418130875, 0.063733547925949, 0.111532978713512, 0.000000000000000, -0.073978200554848, -0.029414914548397, 0.395686984062195, -0.144028484821320, 0.118063904345036, 0.259721964597702, 0.944133400917053, 0.020512910559773, 0.210471972823143, 0.041176084429026, -0.054522972553968
