l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.50389361,-2.03594065,-1.97681797,-0.91071343,0.11896768,0.00000000,0.00000000,-0.23412850,1.88997746,1.81477630,0.48830932,-0.16723032,0.00000000,0.00000000
0.50151104,-2.05127501,-1.96193385,-0.91156983,0.13765818,0.00000000,0.00000000,-0.23554239,1.91215551,1.80556715,0.48727450,-0.19284084,0.00000000,0.00000000
0.49737719,-2.07576346,-1.93616509,-0.91266555,0.15463790,0.00000000,0.00000000,-0.23763326,1.94786131,1.78998995,0.48605940,-0.22332461,0.00000000,0.00000000
0.49203989,-2.10233140,-1.90380442,-0.91347724,0.16809818,0.00000000,0.00000000,-0.23976801,1.98763978,1.77103364,0.48555276,-0.25002694,0.00000000,0.00000000
0.48585725,-2.12586975,-1.86813152,-0.91370726,0.17809646,0.00000000,0.00000000,-0.24212000,2.02472305,1.75094140,0.48591632,-0.26775429,0.00000000,0.00000000
0.47873676,-2.14456630,-1.83045030,-0.91329211,0.19532292,0.00000000,0.00000000,-0.24496748,2.05730820,1.73039842,0.48694471,-0.29170832,0.00000000,0.00000000
0.47042280,-2.15828037,-1.79107976,-0.91225898,0.21508132,0.00000000,0.00000000,-0.24837920,2.08606315,1.70926011,0.48856646,-0.31074470,0.00000000,0.00000000
0.46081877,-2.16662121,-1.75056982,-0.91059297,0.24072450,0.00000000,0.00000000,-0.25258872,2.11179233,1.68729639,0.49077982,-0.32720807,0.00000000,0.00000000
0.44968900,-2.16953373,-1.71043646,-0.90838736,0.26350063,0.00000000,0.00000000,-0.25776723,2.13437200,1.66451919,0.49361727,-0.35087177,0.00000000,0.00000000
0.43666500,-2.16997862,-1.67280102,-0.90576166,0.29403862,0.00000000,0.00000000,-0.26381165,2.15244031,1.64127767,0.49717307,-0.37119690,0.00000000,0.00000000
0.42172962,-2.17000008,-1.63881171,-0.90253091,0.31876618,0.00000000,0.00000000,-0.27063349,2.16427422,1.61800253,0.50158083,-0.38208601,0.00000000,0.00000000
0.40490198,-2.17000008,-1.60815668,-0.89853704,0.32946584,0.00000000,0.00000000,-0.27805790,2.16905022,1.59526420,0.50714761,-0.38422209,0.00000000,0.00000000
