l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.38546368,-1.18870306,0.16074143,0.65001410,0.04034217,0.00000000,0.00000000,-2.03455615,0.56213236,-0.12058446,0.44763014,0.04490798,0.00000000,0.00000000
-0.38648444,-1.18757856,0.16001907,0.64894426,0.05437146,0.00000000,0.00000000,-2.03470874,0.56157053,-0.12064885,0.44768417,0.05101374,0.00000000,0.00000000
-0.38757321,-1.18739784,0.15878786,0.64760274,0.06391148,0.00000000,0.00000000,-2.03494453,0.56101763,-0.12054180,0.44800165,0.05700964,0.00000000,0.00000000
-0.38791999,-1.18957007,0.15733354,0.64669758,0.06978528,0.00000000,0.00000000,-2.03521848,0.56081343,-0.12009978,0.44871601,0.05790649,0.00000000,0.00000000
-0.38761410,-1.19353306,0.15587275,0.64643961,0.07827220,0.00000000,0.00000000,-2.03555298,0.56075108,-0.11947645,0.44974759,0.06061896,0.00000000,0.00000000
-0.38720676,-1.19781077,0.15453598,0.64667672,0.08660544,0.00000000,0.00000000,-2.03600264,0.56039864,-0.11898275,0.45093098,0.06204937,0.00000000,0.00000000
-0.38704747,-1.20156372,0.15342371,0.64724076,0.09565353,0.00000000,0.00000000,-2.03660464,0.55947274,-0.11886426,0.45215455,0.06166507,0.00000000,0.00000000
-0.38720635,-1.20468128,0.15261824,0.64806378,0.10114077,0.00000000,0.00000000,-2.03736401,0.55788952,-0.11926603,0.45336786,0.06415738,0.00000000,0.00000000
-0.38769406,-1.20711470,0.15216924,0.64909399,0.10571785,0.00000000,0.00000000,-2.03826284,0.55564404,-0.12027999,0.45452726,0.06673452,0.00000000,0.00000000
-0.38852292,-1.20875311,0.15207762,0.65024108,0.10968632,0.00000000,0.00000000,-2.03926134,0.55277252,-0.12194167,0.45558673,0.07078562,0.00000000,0.00000000
-0.38959703,-1.20968974,0.15230797,0.65141094,0.11203843,0.00000000,0.00000000,-2.04029083,0.54942852,-0.12418657,0.45653921,0.08056808,0.00000000,0.00000000
-0.39070061,-1.21018744,0.15282394,0.65252465,0.11473789,0.00000000,0.00000000,-2.04126096,0.54588687,-0.12685582,0.45742255,0.08895290,0.00000000,0.00000000
-0.39165717,-1.21044183,0.15360108,0.65349889,0.12084180,0.00000000,0.00000000,-2.04207873,0.54238778,-0.12977791,0.45825672,0.09671136,0.00000000,0.00000000
