l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.08480978,-0.60049427,-0.63087606,-0.41382700,0.11140993,0.00000000,0.00000000,-1.72237003,0.54239714,-0.00167867,-0.11161962,0.08263403,0.00000000,0.00000000
-2.08518124,-0.60099369,-0.63033623,-0.41355747,0.12754661,0.00000000,0.00000000,-1.72274637,0.54128009,-0.00140723,-0.11230890,0.08594032,0.00000000,0.00000000
-2.08589554,-0.60165960,-0.62933105,-0.41293919,0.14464152,0.00000000,0.00000000,-1.72343302,0.53940630,-0.00087811,-0.11351098,0.08644553,0.00000000,0.00000000
-2.08694148,-0.60227585,-0.62794745,-0.41199312,0.16271399,0.00000000,0.00000000,-1.72432578,0.53708321,-0.00007908,-0.11510597,0.08770283,0.00000000,0.00000000
-2.08828425,-0.60268915,-0.62629050,-0.41084823,0.18509771,0.00000000,0.00000000,-1.72526920,0.53465915,0.00100804,-0.11696126,0.08384824,0.00000000,0.00000000
-2.08984399,-0.60300606,-0.62446123,-0.40970683,0.20984979,0.00000000,0.00000000,-1.72607613,0.53237903,0.00240595,-0.11896769,0.07915882,0.00000000,0.00000000
-2.09152317,-0.60345429,-0.62253314,-0.40874442,0.23538572,0.00000000,0.00000000,-1.72661042,0.53037852,0.00412419,-0.12106907,0.07296297,0.00000000,0.00000000
-2.09322500,-0.60418093,-0.62052476,-0.40804541,0.26476499,0.00000000,0.00000000,-1.72678363,0.52876788,0.00616068,-0.12321982,0.06868315,0.00000000,0.00000000
-2.09486318,-0.60520190,-0.61840183,-0.40758705,0.28947008,0.00000000,0.00000000,-1.72655010,0.52763200,0.00850270,-0.12538934,0.06861540,0.00000000,0.00000000
-2.09639287,-0.60641217,-0.61610752,-0.40725189,0.31454876,0.00000000,0.00000000,-1.72592854,0.52694571,0.01112219,-0.12762940,0.06678817,0.00000000,0.00000000
-2.09780359,-0.60765791,-0.61359763,-0.40691736,0.33481649,0.00000000,0.00000000,-1.72496355,0.52665204,0.01398347,-0.12999883,0.06422900,0.00000000,0.00000000
-2.09910393,-0.60870111,-0.61084968,-0.40649432,0.35696745,0.00000000,0.00000000,-1.72372901,0.52670681,0.01704216,-0.13253579,0.06279863,0.00000000,0.00000000
-2.10030961,-0.60933685,-0.60786366,-0.40598747,0.37853333,0.00000000,0.00000000,-1.72232723,0.52705979,0.02024427,-0.13527030,0.06051425,0.00000000,0.00000000
-2.10143161,-0.60949528,-0.60462570,-0.40538755,0.39949676,0.00000000,0.00000000,-1.72087550,0.52758086,0.02352887,-0.13828234,0.05633286,0.00000000,0.00000000
-2.10247374,-0.60911733,-0.60112119,-0.40461394,0.41764027,0.00000000,0.00000000,-1.71947694,0.52817339,0.02683461,-0.14164220,0.04991188,0.00000000,0.00000000
-2.10342622,-0.60825700,-0.59737569,-0.40363434,0.43210492,0.00000000,0.00000000,-1.71813858,0.52878737,0.03011922,-0.14536752,0.04459277,0.00000000,0.00000000
-2.10424471,-0.60705292,-0.59344810,-0.40247315,0.44689584,0.00000000,0.00000000,-1.71678102,0.52944404,0.03335866,-0.14944227,0.04065788,0.00000000,0.00000000
-2.10487652,-0.60565096,-0.58942330,-0.40119281,0.46410978,0.00000000,0.00000000,-1.71528518,0.53023499,0.03653663,-0.15385781,0.02882041,0.00000000,0.00000000
-2.10528398,-0.60426557,-0.58540958,-0.39993346,0.47744069,0.00000000,0.00000000,-1.71348619,0.53123856,0.03964671,-0.15864256,0.01158424,0.00000000,0.00000000
-2.10541797,-0.60299003,-0.58145720,-0.39875519,0.49666080,0.00000000,0.00000000,-1.71126807,0.53251016,0.04266783,-0.16382621,-0.00210830,0.00000000,0.00000000
-2.10523129,-0.60179329,-0.57757527,-0.39763930,0.51714969,0.00000000,0.00000000,-1.70856547,0.53406912,0.04556222,-0.16942567,-0.01538266,0.00000000,0.00000000
-2.10467196,-0.60063887,-0.57376730,-0.39655283,0.53819156,0.00000000,0.00000000,-1.70536029,0.53595465,0.04827606,-0.17541850,-0.03142797,0.00000000,0.00000000
-2.10368299,-0.59952986,-0.57005030,-0.39546776,0.55106407,0.00000000,0.00000000,-1.70166504,0.53826058,0.05074359,-0.18175323,-0.05167500,0.00000000,0.00000000
-2.10220408,-0.59844601,-0.56642222,-0.39431572,0.56353754,0.00000000,0.00000000,-1.69752634,0.54106110,0.05288567,-0.18840532,-0.07509885,0.00000000,0.00000000
-2.10020161,-0.59735906,-0.56288791,-0.39299220,0.56873006,0.00000000,0.00000000,-1.69299138,0.54434401,0.05461911,-0.19540037,-0.09928463,0.00000000,0.00000000
-2.09768009,-0.59624612,-0.55949265,-0.39139119,0.57060295,0.00000000,0.00000000,-1.68811059,0.54806656,0.05585586,-0.20276752,-0.12646523,0.00000000,0.00000000
-2.09461617,-0.59519172,-0.55625391,-0.38941485,0.56850821,0.00000000,0.00000000,-1.68285692,0.55215102,0.05653027,-0.21053405,-0.15511280,0.00000000,0.00000000
-2.09093118,-0.59432822,-0.55315667,-0.38704085,0.55811799,0.00000000,0.00000000,-1.67710161,0.55664295,0.05661115,-0.21865919,-0.18289335,0.00000000,0.00000000
-2.08655024,-0.59367830,-0.55020213,-0.38424450,0.55065304,0.00000000,0.00000000,-1.67071378,0.56173921,0.05606982,-0.22703834,-0.20558323,0.00000000,0.00000000
-2.08141160,-0.59319460,-0.54742324,-0.38094053,0.53335744,0.00000000,0.00000000,-1.66364956,0.56755280,0.05484606,-0.23563002,-0.23308574,0.00000000,0.00000000
-2.07544827,-0.59291512,-0.54484320,-0.37702405,0.51954061,0.00000000,0.00000000,-1.65594435,0.57399535,0.05284892,-0.24454090,-0.25512186,0.00000000,0.00000000
-2.06857347,-0.59301376,-0.54247844,-0.37245181,0.50568664,0.00000000,0.00000000,-1.64762533,0.58089769,0.04998939,-0.25393319,-0.27253705,0.00000000,0.00000000
-2.06069303,-0.59360337,-0.54036099,-0.36722380,0.49418208,0.00000000,0.00000000,-1.63867915,0.58826751,0.04619533,-0.26386422,-0.29288492,0.00000000,0.00000000
-2.05171919,-0.59479344,-0.53852457,-0.36134496,0.48020679,0.00000000,0.00000000,-1.62903762,0.59613919,0.04141983,-0.27438062,-0.30300713,0.00000000,0.00000000
-2.04157448,-0.59666437,-0.53699970,-0.35477209,0.46808079,0.00000000,0.00000000,-1.61857069,0.60455137,0.03564823,-0.28552732,-0.31659412,0.00000000,0.00000000
-2.03016877,-0.59939545,-0.53582931,-0.34754300,0.45331198,0.00000000,0.00000000,-1.60706580,0.61353517,0.02891332,-0.29735070,-0.32339692,0.00000000,0.00000000
-2.01740932,-0.60323131,-0.53507775,-0.33974957,0.43606132,0.00000000,0.00000000,-1.59426653,0.62312496,0.02128207,-0.30988976,-0.33166513,0.00000000,0.00000000
-2.00320387,-0.60839421,-0.53482628,-0.33150825,0.42137480,0.00000000,0.00000000,-1.57991624,0.63343388,0.01283782,-0.32312039,-0.34105244,0.00000000,0.00000000
-1.98747098,-0.61491299,-0.53513467,-0.32284996,0.40321916,0.00000000,0.00000000,-1.56379163,0.64471543,0.00366341,-0.33690873,-0.35022154,0.00000000,0.00000000
-1.97015905,-0.62273234,-0.53604633,-0.31376046,0.39207354,0.00000000,0.00000000,-1.54573703,0.65725487,-0.00617733,-0.35107359,-0.35964936,0.00000000,0.00000000
-1.95124686,-0.63186753,-0.53760701,-0.30426696,0.38104674,0.00000000,0.00000000,-1.52562821,0.67123216,-0.01661626,-0.36548367,-0.37574047,0.00000000,0.00000000
-1.93074346,-0.64232606,-0.53986186,-0.29439548,0.37150353,0.00000000,0.00000000,-1.50335443,0.68676740,-0.02756927,-0.38001850,-0.39045194,0.00000000,0.00000000
-1.90868402,-0.65408540,-0.54285043,-0.28418374,0.36869696,0.00000000,0.00000000,-1.47885168,0.70393085,-0.03895392,-0.39455196,-0.39729622,0.00000000,0.00000000
-1.88513124,-0.66712642,-0.54662299,-0.27377635,0.37194228,0.00000000,0.00000000,-1.45206118,0.72276872,-0.05065868,-0.40892252,-0.40147322,0.00000000,0.00000000
-1.86018324,-0.68137062,-0.55123609,-0.26337785,0.38345274,0.00000000,0.00000000,-1.42292678,0.74333686,-0.06253345,-0.42292926,-0.40478703,0.00000000,0.00000000
-1.83397853,-0.69669998,-0.55673963,-0.25322393,0.39040285,0.00000000,0.00000000,-1.39138305,0.76560873,-0.07436825,-0.43638298,-0.41136843,0.00000000,0.00000000
-1.80669177,-0.71308064,-0.56317955,-0.24363145,0.39831328,0.00000000,0.00000000,-1.35737097,0.78930056,-0.08589533,-0.44921798,-0.41717148,0.00000000,0.00000000
-1.77853191,-0.73046523,-0.57058376,-0.23492254,0.40765303,0.00000000,0.00000000,-1.32085812,0.81390989,-0.09679771,-0.46146137,-0.41722071,0.00000000,0.00000000
-1.74974239,-0.74865860,-0.57896262,-0.22731826,0.41417295,0.00000000,0.00000000,-1.28188467,0.83892113,-0.10675782,-0.47313821,-0.41507515,0.00000000,0.00000000
-1.72057700,-0.76733428,-0.58829641,-0.22091615,0.41736326,0.00000000,0.00000000,-1.24061036,0.86387068,-0.11552352,-0.48425198,-0.41951340,0.00000000,0.00000000
-1.69128072,-0.78611183,-0.59854263,-0.21571873,0.42269006,0.00000000,0.00000000,-1.19728005,0.88829380,-0.12289395,-0.49479905,-0.41893697,0.00000000,0.00000000
-1.66207540,-0.80463588,-0.60964608,-0.21167871,0.43619701,0.00000000,0.00000000,-1.15222609,0.91176832,-0.12875988,-0.50475949,-0.42031068,0.00000000,0.00000000
-1.63314080,-0.82257313,-0.62153715,-0.20870788,0.45368177,0.00000000,0.00000000,-1.10585356,0.93397933,-0.13312086,-0.51408356,-0.41969621,0.00000000,0.00000000
-1.60461497,-0.83958274,-0.63414407,-0.20669961,0.46759748,0.00000000,0.00000000,-1.05857813,0.95470840,-0.13602434,-0.52271235,-0.41420081,0.00000000,0.00000000
-1.57657826,-0.85540360,-0.64738661,-0.20553818,0.48246515,0.00000000,0.00000000,-1.01081896,0.97377205,-0.13758138,-0.53062063,-0.40118706,0.00000000,0.00000000
-1.54906750,-0.86982685,-0.66118717,-0.20512077,0.50378853,0.00000000,0.00000000,-0.96298963,0.99108630,-0.13796212,-0.53776062,-0.38713872,0.00000000,0.00000000
-1.52211487,-0.88261682,-0.67549431,-0.20538239,0.52869594,0.00000000,0.00000000,-0.91548038,1.00666881,-0.13735856,-0.54402703,-0.37275004,0.00000000,0.00000000
-1.49574518,-0.89360523,-0.69027072,-0.20637184,0.55146754,0.00000000,0.00000000,-0.86863714,1.02049029,-0.13594697,-0.54936385,-0.36140665,0.00000000,0.00000000
-1.46995485,-0.90275836,-0.70547825,-0.20822057,0.58064985,0.00000000,0.00000000,-0.82276386,1.03248763,-0.13391444,-0.55381829,-0.34649673,0.00000000,0.00000000
-1.44467258,-0.91007930,-0.72105974,-0.21099854,0.61170912,0.00000000,0.00000000,-0.77812344,1.04269600,-0.13145821,-0.55746067,-0.33700010,0.00000000,0.00000000
-1.41976726,-0.91556329,-0.73694503,-0.21470605,0.63970357,0.00000000,0.00000000,-0.73492420,1.05127823,-0.12876011,-0.56036979,-0.32977793,0.00000000,0.00000000
-1.39502275,-0.91936511,-0.75302988,-0.21933477,0.66014397,0.00000000,0.00000000,-0.69330007,1.05849791,-0.12599944,-0.56270945,-0.32718900,0.00000000,0.00000000
-1.37013328,-0.92189860,-0.76916593,-0.22489737,0.67632961,0.00000000,0.00000000,-0.65327132,1.06474495,-0.12332756,-0.56475580,-0.32695407,0.00000000,0.00000000
-1.34471381,-0.92389446,-0.78515589,-0.23148394,0.68230212,0.00000000,0.00000000,-0.61468303,1.07051122,-0.12077493,-0.56686747,-0.32106629,0.00000000,0.00000000
