l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.63860178,-0.80823302,-0.22985324,-0.07033455,-0.06570879,0.00000000,0.00000000,-0.79673004,0.93307173,0.20872103,-0.44804952,0.04034338,0.00000000,0.00000000
-1.63784826,-0.80907702,-0.22944714,-0.06988997,-0.06146389,0.00000000,0.00000000,-0.79651469,0.93214482,0.20846608,-0.44808775,0.04112248,0.00000000,0.00000000
-1.63634932,-0.81044453,-0.22863787,-0.06881655,-0.05660158,0.00000000,0.00000000,-0.79613662,0.93133724,0.20780690,-0.44813436,0.03953895,0.00000000,0.00000000
-1.63408184,-0.81219065,-0.22741581,-0.06697667,-0.05402507,0.00000000,0.00000000,-0.79563940,0.93152082,0.20655817,-0.44827071,0.03811981,0.00000000,0.00000000
-1.63105774,-0.81474280,-0.22579479,-0.06458053,-0.05444629,0.00000000,0.00000000,-0.79505050,0.93286353,0.20459343,-0.44848830,0.03739533,0.00000000,0.00000000
-1.62730944,-0.81859833,-0.22380368,-0.06195582,-0.05136445,0.00000000,0.00000000,-0.79438984,0.93518901,0.20185125,-0.44877684,0.03706828,0.00000000,0.00000000
-1.62289476,-0.82408768,-0.22148554,-0.05939955,-0.05205958,0.00000000,0.00000000,-0.79363322,0.93827254,0.19837917,-0.44921353,0.03756659,0.00000000,0.00000000
-1.61789668,-0.83135521,-0.21889390,-0.05714917,-0.04836534,0.00000000,0.00000000,-0.79268754,0.94192439,0.19436561,-0.44997600,0.03933555,0.00000000,0.00000000
-1.61242270,-0.84038901,-0.21608517,-0.05541810,-0.04659966,0.00000000,0.00000000,-0.79140598,0.94591701,0.19014560,-0.45122853,0.04037918,0.00000000,0.00000000
-1.60663366,-0.85082918,-0.21312536,-0.05429663,-0.04721759,0.00000000,0.00000000,-0.78973395,0.94979155,0.18610270,-0.45293000,0.04320426,0.00000000,0.00000000
-1.60075283,-0.86151505,-0.21009068,-0.05346686,-0.04822282,0.00000000,0.00000000,-0.78788936,0.95301270,0.18250147,-0.45481580,0.04180820,0.00000000,0.00000000
-1.59502995,-0.87089378,-0.20705333,-0.05238603,-0.05020131,0.00000000,0.00000000,-0.78625119,0.95510602,0.17949107,-0.45653614,0.03871688,0.00000000,0.00000000
-1.58966696,-0.87787336,-0.20406228,-0.05066907,-0.04899586,0.00000000,0.00000000,-0.78510869,0.95569777,0.17716594,-0.45781001,0.03504040,0.00000000,0.00000000
-1.58475435,-0.88204908,-0.20113443,-0.04815269,-0.05060651,0.00000000,0.00000000,-0.78456813,0.95471483,0.17555444,-0.45855334,0.03463386,0.00000000,0.00000000
-1.58023560,-0.88367283,-0.19825405,-0.04486857,-0.05099411,0.00000000,0.00000000,-0.78452945,0.95258707,0.17460614,-0.45885509,0.03544194,0.00000000,0.00000000
-1.57593167,-0.88339454,-0.19538513,-0.04097272,-0.05674952,0.00000000,0.00000000,-0.78475904,0.95023179,0.17419897,-0.45890030,0.03604417,0.00000000,0.00000000
-1.57163441,-0.88204157,-0.19249482,-0.03671069,-0.06578078,0.00000000,0.00000000,-0.78503090,0.94863880,0.17416544,-0.45884141,0.03778672,0.00000000,0.00000000
-1.56718969,-0.88031876,-0.18956974,-0.03230029,-0.07335215,0.00000000,0.00000000,-0.78525084,0.94847447,0.17430389,-0.45873827,0.04200295,0.00000000,0.00000000
-1.56253576,-0.87865162,-0.18661983,-0.02787212,-0.08568128,0.00000000,0.00000000,-0.78546250,0.94985300,0.17443028,-0.45865473,0.04373995,0.00000000,0.00000000
-1.55767536,-0.87739748,-0.18366826,-0.02357744,-0.09385777,0.00000000,0.00000000,-0.78567153,0.95248652,0.17450076,-0.45867133,0.04550539,0.00000000,0.00000000
-1.55264091,-0.87691599,-0.18074232,-0.01960175,-0.09511171,0.00000000,0.00000000,-0.78582239,0.95577055,0.17460844,-0.45886654,0.04978023,0.00000000,0.00000000
-1.54749882,-0.87723660,-0.17787158,-0.01600557,-0.09556413,0.00000000,0.00000000,-0.78595054,0.95882231,0.17480837,-0.45929930,0.05141906,0.00000000,0.00000000
-1.54232144,-0.87817138,-0.17508239,-0.01275097,-0.09092004,0.00000000,0.00000000,-0.78601146,0.96103752,0.17510194,-0.45994276,0.04891738,0.00000000,0.00000000
-1.53715169,-0.87972420,-0.17239371,-0.00987136,-0.08789627,0.00000000,0.00000000,-0.78590089,0.96258217,0.17555241,-0.46072459,0.03865009,0.00000000,0.00000000
-1.53201544,-0.88204628,-0.16982006,-0.00746959,-0.08498114,0.00000000,0.00000000,-0.78597337,0.96375418,0.17622681,-0.46154827,0.02927492,0.00000000,0.00000000
-1.52694285,-0.88482851,-0.16737469,-0.00543345,-0.08317254,0.00000000,0.00000000,-0.78624952,0.96410060,0.17707619,-0.46235290,0.01609327,0.00000000,0.00000000
-1.52194452,-0.88798618,-0.16506770,-0.00376301,-0.08779000,0.00000000,0.00000000,-0.78676724,0.96402717,0.17810608,-0.46305361,0.00272702,0.00000000,0.00000000
-1.51703334,-0.89091039,-0.16290767,-0.00216880,-0.09358463,0.00000000,0.00000000,-0.78712475,0.96337271,0.17920886,-0.46370682,-0.00473808,0.00000000,0.00000000
-1.51220274,-0.89332438,-0.16090173,-0.00050193,-0.10213543,0.00000000,0.00000000,-0.78753525,0.96288294,0.18037635,-0.46443114,-0.01123175,0.00000000,0.00000000
-1.50744998,-0.89493674,-0.15905765,0.00138736,-0.11512166,0.00000000,0.00000000,-0.78823435,0.96289253,0.18160857,-0.46524748,-0.01863173,0.00000000,0.00000000
-1.50278664,-0.89570469,-0.15738454,0.00350866,-0.13091578,0.00000000,0.00000000,-0.78917402,0.96297413,0.18291788,-0.46602532,-0.03125861,0.00000000,0.00000000
